DATE,KOSPI,SP500,VIX,DXY
2023-12-28,2655.280029296875,4783.35009765625,12.470000267028809,101.2300033569336
2023-12-29,2655.280029296875,4769.830078125,12.449999809265137,101.33000183105469
2023-12-30,2655.280029296875,4769.830078125,12.449999809265137,101.33000183105469
2023-12-31,2655.280029296875,4769.830078125,12.449999809265137,101.33000183105469
2024-01-01,2655.280029296875,4769.830078125,12.449999809265137,101.33000183105469
2024-01-02,2669.81005859375,4742.830078125,13.199999809265137,102.19999694824219
2024-01-03,2607.31005859375,4704.81005859375,14.039999961853027,102.45999908447266
2024-01-04,2587.02001953125,4688.68017578125,14.130000114440918,102.41999816894531
2024-01-05,2578.080078125,4697.240234375,13.350000381469727,102.41000366210938
2024-01-06,2578.080078125,4697.240234375,13.350000381469727,102.41000366210938
2024-01-07,2578.080078125,4697.240234375,13.350000381469727,102.41000366210938
2024-01-08,2567.820068359375,4763.5400390625,13.079999923706055,102.20999908447266
2024-01-09,2561.239990234375,4756.5,12.760000228881836,102.56999969482422
2024-01-10,2541.97998046875,4783.4501953125,12.6899995803833,102.36000061035156
2024-01-11,2540.27001953125,4780.240234375,12.4399995803833,102.29000091552734
2024-01-12,2525.050048828125,4783.830078125,12.699999809265137,102.4000015258789
2024-01-13,2525.050048828125,4783.830078125,12.699999809265137,102.4000015258789
2024-01-14,2525.050048828125,4783.830078125,12.699999809265137,102.4000015258789
2024-01-15,2525.989990234375,4783.830078125,12.699999809265137,102.4000015258789
2024-01-16,2497.590087890625,4765.97998046875,13.84000015258789,103.36000061035156
2024-01-17,2435.89990234375,4739.2099609375,14.789999961853027,103.44999694824219
2024-01-18,2440.0400390625,4780.93994140625,14.130000114440918,103.54000091552734
2024-01-19,2472.739990234375,4839.81005859375,13.300000190734863,103.29000091552734
2024-01-20,2472.739990234375,4839.81005859375,13.300000190734863,103.29000091552734
2024-01-21,2472.739990234375,4839.81005859375,13.300000190734863,103.29000091552734
